id;description
1;Amarela
2;Aymara
3;Blanco(a)
4;De la amazonía
5;Indígena
6;Mestizo(a)
7;Mulato(a)
8;Negra / Negro / Afroperuano
9;Negro (Preta)
10;Negro(a) / afroboliviano(a)
11;No contesta
12;No sabe
13;Oriental / asiático
14;Otro
15;Pardo
16;Quechua
17;Zambo(a)
