id;description
1;Agénero
2;Ambos
3;Bicha loca
4;Bisexual
5;Chico trans
6;Cisgénero
7;Demisexual
8;Femenino
9;Fora de contexto
10;Gay
11;Heterosexual
12;Homosexual
13;Masculino
14;Neutro
15;Ninguno (a)
16;No binario
17;No informado
18;Prefiero no responder
19;Queer
